split,model,site,origin,target_month,horizon,actual_m3,forecast_m3,scale_m3,model_details,horizon_bucket,interval_q,lower_m3,upper_m3,covered,interval_width_m3
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-01,1,241.0,281.8542760401751,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h1,1.9560832420395615,216.86108165288442,346.84747042746574,True,129.98638877458131
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-02,2,231.0,257.9294101360929,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h2-3,2.952097419162971,159.8424589827137,356.01636128947206,True,196.17390230675835
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-03,3,227.0,327.62457397281946,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h2-3,2.952097419162971,229.5376228194403,425.71152512619864,False,196.17390230675835
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-04,4,206.0,296.42797840730253,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h4-6,2.733442812786802,205.6060868538744,387.2498699607307,True,181.6437831068563
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-05,5,275.0,300.1196033302313,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h4-6,2.733442812786802,209.29771177680317,390.94149488365946,True,181.6437831068563
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-06,6,265.0,186.976056025181,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h4-6,2.733442812786802,96.15416447175286,277.7979475786092,True,181.64378310685632
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-07,7,183.0,128.51889909670862,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h7-12,2.952097419162971,30.431947943329433,226.60585025008783,True,196.1739023067584
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-08,8,187.0,280.0990996363838,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h7-12,2.952097419162971,182.01214848300464,378.186050789763,True,196.17390230675835
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-09,9,296.0,338.8136195526681,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h7-12,2.952097419162971,240.72666839928894,436.9005707060473,True,196.17390230675835
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-10,10,265.0,331.02704562119663,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h7-12,2.952097419162971,232.94009446781746,429.1139967745758,True,196.17390230675835
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-11,11,292.0,329.42436424530666,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h7-12,2.952097419162971,231.3374130919275,427.51131539868584,True,196.17390230675835
final,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2017-12,2018-12,12,202.0,245.92968869677196,33.226190476190474,"{'specification': 'ETS(A,Ad,A)', 'sse': 190710.53723209596}",h7-12,2.952097419162971,147.8427375433928,344.01663985015114,True,196.17390230675835
final,ets,2183 Latokartanon peruskoulu,2017-12,2018-01,1,140.0,148.75064045534285,28.166666666666668,"{'specification': 'ETS(A,Ad,A)', 'sse': 50107.730167581874}",h1,1.9560832420395615,93.65429580456185,203.84698510612384,True,110.19268930156198
