scenario,candidateCount,improvementPct,baselineValue,optimizedValue,baselineExcessM3,optimizedExcessM3
base,3,0.0,784.2055755100464,784.2055755100463,207.6227332300021,207.6227332300021
budget_hours=4,3,0.0,443.35982792511027,443.35982792511027,83.66812265557189,83.66812265557189
budget_hours=6,3,0.0,443.35982792511027,443.35982792511027,83.66812265557189,83.66812265557189
budget_hours=8,3,14.585313367860252,572.0640355897798,655.5013678453768,134.32461324772066,156.96624263785333
budget_hours=20,3,0.0,784.2055755100464,784.2055755100463,207.6227332300021,207.6227332300021
false_positive_cost=0,3,0.0,846.7055755100464,846.7055755100463,207.6227332300021,207.6227332300021
false_positive_cost=150,3,0.0,659.2055755100464,659.2055755100463,207.6227332300021,207.6227332300021
missed_m3_cost=2,3,0.0,410.0203836733643,410.0203836733643,207.6227332300021,207.6227332300021
missed_m3_cost=10,3,0.0,3403.501918366821,3403.501918366821,207.6227332300021,207.6227332300021
interval_multiplier=0.75,7,0.0,980.8066257290317,980.8066257290317,299.5229666119988,299.52296661199887
interval_multiplier=1.5,0,0.0,0.0,0.0,0.0,0.0
persistence_months=2,3,0.0,410.0203836733643,410.0203836733643,207.6227332300021,207.6227332300021
persistence_months=6,3,0.0,1906.7611510200927,1906.7611510200925,207.6227332300021,207.6227332300021
zone_activation_hours=0.5,3,0.0,784.2055755100464,784.2055755100463,207.6227332300021,207.6227332300021
zone_activation_hours=2,3,0.0,784.2055755100464,784.2055755100463,207.6227332300021,207.6227332300021
